# x=L/(1e9*L_sun)  log10(phi/(Mpc^-3*dex^-1))  sigma_log10phi  Veff/Mpc^3
9.462371613657909464e-01 -2.350000000000000089e+00 6.500000000000000222e-02 9.994059007837799436e+04
1.137627285823433088e+00 -2.334999999999999964e+00 5.500000000000000028e-02 1.348476069152415439e+05
1.367728825595852182e+00 -2.309000000000000163e+00 4.800000000000000100e-02 1.667577965104772302e+05
1.644371723214929082e+00 -2.305000000000000160e+00 4.100000000000000172e-02 2.264649048454132280e+05
1.976969640111865933e+00 -2.347999999999999865e+00 3.799999999999999906e-02 2.910726697951530805e+05
2.376840286624873677e+00 -2.370999999999999996e+00 3.400000000000000244e-02 3.833635239570800331e+05
2.857590543374955327e+00 -2.376999999999999780e+00 2.999999999999999889e-02 4.992592421550554573e+05
3.435579478998756819e+00 -2.399000000000000021e+00 2.699999999999999969e-02 6.483971455567833036e+05
4.130475019901610700e+00 -2.408999999999999808e+00 2.400000000000000050e-02 8.397425105673612561e+05
4.965923214503377814e+00 -2.447000000000000064e+00 2.199999999999999872e-02 1.090745075619924814e+06
5.970352865838365553e+00 -2.451000000000000068e+00 1.899999999999999953e-02 1.475915251864202088e+06
7.177942912713644041e+00 -2.476999999999999869e+00 1.799999999999999864e-02 1.745917075061380863e+06
8.629785477669736693e+00 -2.487000000000000099e+00 1.600000000000000033e-02 2.261146271079741884e+06
1.037528415818012562e+01 -2.494000000000000217e+00 1.400000000000000029e-02 3.001321720652063377e+06
1.247383514242948443e+01 -2.508999999999999897e+00 1.200000000000000025e-02 4.228692743668333627e+06
1.499684835502373836e+01 -2.559000000000000163e+00 1.200000000000000025e-02 4.744671295968674123e+06
1.803017740859569429e+01 -2.604000000000000092e+00 1.099999999999999936e-02 6.263012122139747255e+06
2.167704104819704725e+01 -2.668000000000000149e+00 1.000000000000000021e-02 8.781498320437328890e+06
2.606153549998898100e+01 -2.721999999999999975e+00 1.000000000000000021e-02 9.944171887815659866e+06
3.133285724315601328e+01 -2.801000000000000156e+00 1.000000000000000021e-02 1.192802724983253330e+07
3.767037989839093370e+01 -2.875999999999999890e+00 8.999999999999999320e-03 1.750183574735236168e+07
4.528975799036213346e+01 -2.971000000000000085e+00 8.999999999999999320e-03 2.178129032040278986e+07
5.445026528424242684e+01 -3.095000000000000195e+00 1.000000000000000021e-02 2.347300128819508478e+07
6.546361740672759311e+01 -3.229000000000000092e+00 1.000000000000000021e-02 3.195719278532959148e+07
7.870457896950999555e+01 -3.383000000000000007e+00 1.099999999999999936e-02 3.765158405369827896e+07
9.462371613657910530e+01 -3.555000000000000160e+00 1.299999999999999940e-02 4.005732259650061280e+07
1.137627285823433283e+02 -3.750999999999999890e+00 1.499999999999999944e-02 4.724829100665831566e+07
1.367728825595858098e+02 -3.952999999999999847e+00 1.700000000000000122e-02 5.856940064978303760e+07
1.644371723214935628e+02 -4.169999999999999929e+00 2.000000000000000042e-02 6.974428578912962973e+07
1.976969640111866227e+02 -4.410999999999999588e+00 2.500000000000000139e-02 7.774788887506873906e+07
2.376840286624873215e+02 -4.650999999999999801e+00 3.099999999999999978e-02 8.787093244056250155e+07
2.857590543374955701e+02 -4.902999999999999581e+00 3.799999999999999906e-02 1.044723657651630342e+08
3.435579478998756713e+02 -5.160999999999999588e+00 5.000000000000000278e-02 1.093021271518954039e+08
4.130475019901610381e+02 -5.517999999999999794e+00 6.800000000000000488e-02 1.344469013090395331e+08
4.965923214503377494e+02 -5.860999999999999766e+00 9.600000000000000200e-02 1.486025139345563650e+08
5.970352865838365233e+02 -6.285000000000000142e+00 1.449999999999999900e-01 1.729149797427378595e+08
