# x=L/(1e9*L_sun)  log10(phi/(Mpc^-3*dex^-1))  sigma_log10phi  Veff/Mpc^3
4.655860935229600841e+02 -7.533000000000000362e+00 4.610000000000000209e-01 3.028076005163987875e+08
3.872576449216180663e+02 -7.126999999999999780e+00 3.160000000000000031e-01 2.530430754910099506e+08
3.221068791283454402e+02 -6.491999999999999993e+00 1.640000000000000069e-01 2.177112776585983336e+08
2.679168324819036684e+02 -6.003000000000000114e+00 1.039999999999999952e-01 1.755908754039157629e+08
2.228435149270298439e+02 -5.527999999999999581e+00 6.400000000000000133e-02 1.553133097329814434e+08
1.853531623414814362e+02 -5.089000000000000412e+00 4.200000000000000261e-02 1.312411544032981694e+08
1.541700452949561395e+02 -4.717999999999999972e+00 2.999999999999999889e-02 1.094778130216930658e+08
1.282330582656028355e+02 -4.368999999999999773e+00 2.199999999999999872e-02 9.114298773088794947e+07
1.066596121230258944e+02 -4.046000000000000263e+00 1.700000000000000122e-02 7.255557360008087754e+07
8.871560120379616876e+01 -3.765000000000000124e+00 1.400000000000000029e-02 5.601605905085975677e+07
7.379042301291045192e+01 -3.528999999999999915e+00 1.200000000000000025e-02 4.427984892830796540e+07
6.137620051647945729e+01 -3.325000000000000178e+00 1.000000000000000021e-02 3.986287544190365821e+07
5.105049999754085377e+01 -3.149999999999999911e+00 1.000000000000000021e-02 2.664211033839159459e+07
4.246195639463130078e+01 -3.005999999999999783e+00 8.999999999999999320e-03 2.360932680039408058e+07
3.531831697919569990e+01 -2.891999999999999904e+00 8.999999999999999320e-03 1.815865191685755551e+07
2.937649651961542574e+01 -2.802000000000000046e+00 8.999999999999999320e-03 1.475990641042354144e+07
2.443430552693971336e+01 -2.720000000000000195e+00 8.999999999999999320e-03 1.222034884963762574e+07
2.032357010936229358e+01 -2.660000000000000142e+00 1.000000000000000021e-02 8.621217912722796202e+06
1.690440931643270162e+01 -2.596999999999999975e+00 1.000000000000000021e-02 7.457076915279561654e+06
1.406047524129913029e+01 -2.541999999999999815e+00 1.099999999999999936e-02 5.429792737306720577e+06
1.169499391019874679e+01 -2.498000000000000220e+00 1.200000000000000025e-02 4.122931606167334132e+06
9.727472237769639207e+00 -2.483000000000000096e+00 1.299999999999999940e-02 3.393766184082889464e+06
8.090958991783846699e+00 -2.480999999999999872e+00 1.499999999999999944e-02 2.537383459473016672e+06
6.729766562843195743e+00 -2.475000000000000089e+00 1.700000000000000122e-02 1.948367065685441019e+06
5.597576014951092915e+00 -2.454000000000000181e+00 1.899999999999999953e-02 1.486145807643452426e+06
4.655860935229600983e+00 -2.452999999999999847e+00 2.199999999999999872e-02 1.105918851107256720e+06
3.872576449216164729e+00 -2.407000000000000028e+00 2.400000000000000050e-02 8.358842441991236992e+05
3.221068791283441257e+00 -2.403999999999999915e+00 2.699999999999999969e-02 6.559052306460067630e+05
2.679168324819036773e+00 -2.371999999999999886e+00 2.999999999999999889e-02 4.935442688684581663e+05
2.228435149270298510e+00 -2.373000000000000220e+00 3.400000000000000244e-02 3.851330495840525837e+05
1.853531623414814256e+00 -2.339999999999999858e+00 3.699999999999999817e-02 3.014152173484363011e+05
1.541700452949561706e+00 -2.309000000000000163e+00 4.100000000000000172e-02 2.285603588103149668e+05
1.282330582656028284e+00 -2.325000000000000178e+00 4.800000000000000100e-02 1.730159524388179416e+05
1.066596121230259042e+00 -2.337000000000000188e+00 5.500000000000000028e-02 1.354700351883058320e+05
8.871560120379581305e-01 -2.380999999999999783e+00 6.600000000000000311e-02 1.041071964969933470e+05
