# x=M*/(1e9*M_sun)  log10(phi/(Mpc^-3*dex^-1))  sigma_log10phi  Veff/Mpc^3
1.122018454301966006e+00 -2.012000000000000011e+00 5.299999999999999850e-02 6.902666377544727584e+04
1.412537544622756158e+00 -2.011000000000000121e+00 4.599999999999999922e-02 9.142247181167709641e+04
1.778279410038923425e+00 -1.981000000000000094e+00 3.899999999999999994e-02 1.186969087155662855e+05
2.238721138568338542e+00 -2.009999999999999787e+00 3.500000000000000333e-02 1.575551247462572937e+05
2.818382931264449720e+00 -2.048000000000000043e+00 3.200000000000000067e-02 2.057162817322209594e+05
3.548133892335758599e+00 -2.077999999999999847e+00 2.900000000000000147e-02 2.683938911919613602e+05
4.466835921509631824e+00 -2.076999999999999957e+00 2.500000000000000139e-02 3.603201961514985887e+05
5.623413251903485843e+00 -2.125999999999999890e+00 2.299999999999999961e-02 4.765549122758772573e+05
7.079457843841367115e+00 -2.157000000000000028e+00 2.100000000000000130e-02 6.139458006056078011e+05
8.912509381337430980e+00 -2.154999999999999805e+00 1.899999999999999953e-02 7.465543334194505587e+05
1.122018454301963253e+01 -2.201000000000000068e+00 1.700000000000000122e-02 1.036742207734631957e+06
1.412537544622757935e+01 -2.212000000000000188e+00 1.499999999999999944e-02 1.365796842890969012e+06
1.778279410038925690e+01 -2.229999999999999982e+00 1.400000000000000029e-02 1.634227638928627828e+06
2.238721138568341118e+01 -2.248000000000000220e+00 1.299999999999999940e-02 1.975522216116622090e+06
2.818382931264452651e+01 -2.261000000000000121e+00 1.200000000000000025e-02 2.388944886018724646e+06
3.548133892335762596e+01 -2.291999999999999815e+00 1.099999999999999936e-02 3.053396843405994587e+06
4.466835921509636620e+01 -2.327999999999999847e+00 1.000000000000000021e-02 4.013919169394762255e+06
5.623413251903492949e+01 -2.395000000000000018e+00 1.000000000000000021e-02 4.683479488955161534e+06
7.079457843841373688e+01 -2.450000000000000178e+00 8.999999999999999320e-03 6.562715894992044196e+06
8.912509381337440573e+01 -2.539000000000000146e+00 8.999999999999999320e-03 8.055334952460091561e+06
1.122018454301964567e+02 -2.634999999999999787e+00 8.999999999999999320e-03 1.004809202140367217e+07
1.412537544622754524e+02 -2.754999999999999893e+00 1.000000000000000021e-02 1.072923166364871524e+07
1.778279410038921071e+02 -2.900999999999999801e+00 1.000000000000000021e-02 1.501649661738745868e+07
2.238721138568335505e+02 -3.079000000000000181e+00 1.099999999999999936e-02 1.869748753150849044e+07
2.818382931264445688e+02 -3.270000000000000018e+00 1.299999999999999940e-02 2.078174052245446667e+07
3.548133892335766859e+02 -3.483999999999999986e+00 1.499999999999999944e-02 2.554971761364129931e+07
4.466835921509641594e+02 -3.710999999999999854e+00 1.799999999999999864e-02 2.992427329105188698e+07
5.623413251903498349e+02 -3.950000000000000178e+00 2.199999999999999872e-02 3.473147766623940319e+07
7.079457843841381646e+02 -4.222000000000000419e+00 2.699999999999999969e-02 4.313612154967615753e+07
8.912509381337450804e+02 -4.482999999999999652e+00 3.400000000000000244e-02 4.961474784688645601e+07
1.122018454301965903e+03 -4.791999999999999815e+00 4.599999999999999922e-02 5.521447654486306012e+07
1.412537544622755831e+03 -5.150999999999999801e+00 6.600000000000000311e-02 6.130286213411213458e+07
1.778279410038923061e+03 -5.490999999999999659e+00 9.299999999999999933e-02 6.754648056211847067e+07
2.238721138568337665e+03 -5.857999999999999652e+00 1.340000000000000080e-01 7.574588180911873281e+07
