# x=M*/(1e9*M_sun)  log10(phi/(Mpc^-3*dex^-1))  sigma_log10phi  Veff/Mpc^3
1.122018454301966006e+00 -2.021999999999999797e+00 5.000000000000000278e-02 7.936492568532607402e+04
1.412537544622756158e+00 -2.004999999999999893e+00 4.299999999999999656e-02 1.031885979069992900e+05
1.778279410038923425e+00 -1.989000000000000101e+00 3.699999999999999817e-02 1.343275749734222481e+05
2.238721138568338542e+00 -2.028000000000000025e+00 3.300000000000000155e-02 1.847314090461377054e+05
2.818382931264449720e+00 -2.060000000000000053e+00 2.999999999999999889e-02 2.406168922006192734e+05
3.548133892335758599e+00 -2.080999999999999961e+00 2.699999999999999969e-02 3.117748610061874497e+05
4.466835921509631824e+00 -2.109999999999999876e+00 2.500000000000000139e-02 3.887662945908683469e+05
5.623413251903485843e+00 -2.154999999999999805e+00 2.199999999999999872e-02 5.568308148025240516e+05
7.079457843841367115e+00 -2.161999999999999922e+00 2.000000000000000042e-02 6.847130911087592831e+05
8.912509381337430980e+00 -2.174999999999999822e+00 1.799999999999999864e-02 8.710109451396804070e+05
1.122018454301963253e+01 -2.209000000000000075e+00 1.700000000000000122e-02 1.056016684430708410e+06
1.412537544622757935e+01 -2.210999999999999854e+00 1.499999999999999944e-02 1.362655597320960602e+06
1.778279410038925690e+01 -2.222999999999999865e+00 1.299999999999999940e-02 1.865013234469365794e+06
2.238721138568341118e+01 -2.240000000000000213e+00 1.200000000000000025e-02 2.276177523462561890e+06
2.818382931264452651e+01 -2.241000000000000103e+00 1.099999999999999936e-02 2.715083886420543771e+06
3.548133892335762596e+01 -2.285000000000000142e+00 1.000000000000000021e-02 3.635537449091063812e+06
4.466835921509636620e+01 -2.338999999999999968e+00 1.000000000000000021e-02 4.116883927907188423e+06
5.623413251903492949e+01 -2.400999999999999801e+00 8.999999999999999320e-03 5.862510097180048004e+06
7.079457843841373688e+01 -2.486000000000000210e+00 8.999999999999999320e-03 7.129902708838359453e+06
8.912509381337440573e+01 -2.591000000000000192e+00 8.999999999999999320e-03 9.079953067054694518e+06
1.122018454301964567e+02 -2.721000000000000085e+00 8.999999999999999320e-03 1.224851966313102096e+07
1.412537544622754524e+02 -2.888999999999999790e+00 1.000000000000000021e-02 1.460725539541983791e+07
1.778279410038921071e+02 -3.096999999999999975e+00 1.099999999999999936e-02 1.948871713995527476e+07
2.238721138568335505e+02 -3.345000000000000195e+00 1.299999999999999940e-02 2.469914490095528960e+07
2.818382931264445688e+02 -3.625000000000000000e+00 1.600000000000000033e-02 3.106909888106592000e+07
3.548133892335766859e+02 -3.934000000000000163e+00 2.000000000000000042e-02 4.050499951176381111e+07
4.466835921509641594e+02 -4.278999999999999915e+00 2.699999999999999969e-02 4.918595343323092163e+07
5.623413251903498349e+02 -4.676000000000000156e+00 3.799999999999999906e-02 6.194431138094983995e+07
7.079457843841381646e+02 -5.133000000000000007e+00 5.899999999999999689e-02 7.359776048103918135e+07
8.912509381337450804e+02 -5.756999999999999673e+00 1.100000000000000006e-01 8.908062435418535769e+07
1.122018454301965903e+03 -6.208000000000000185e+00 1.729999999999999871e-01 1.017364118374364674e+08
1.412537544622755831e+03 -6.948999999999999844e+00 3.930000000000000160e-01 1.085884219540506303e+08
