# log10(M/(M_sun/h))  sigma  |dlnsigma/dlogM|*(rho_m/M)/Veff
1.230000000000000071e+01 2.071100986990592752e+00 5.020521791017558758e-03
1.250000000000000000e+01 1.918431065129670321e+00 3.280005828992614905e-03
1.270000000000000107e+01 1.772055026718023951e+00 2.146635364882415985e-03
1.290000000000000036e+01 1.631817716281404262e+00 1.409073930354266552e-03
1.310000000000000142e+01 1.497636172257634124e+00 9.254675797379316188e-04
1.330000000000000071e+01 1.369533369925779676e+00 6.090977045092971047e-04
1.350000000000000000e+01 1.247587660950882471e+00 4.007294534582821590e-04
1.370000000000000107e+01 1.131886109458338341e+00 2.640430641638606864e-04
1.390000000000000036e+01 1.022518374228147620e+00 1.739246168079838361e-04
1.410000000000000142e+01 9.195217397928030501e-01 1.147137169880590096e-04
1.430000000000000071e+01 8.229534167815822920e-01 7.564258457713048209e-05
1.450000000000000178e+01 7.328064816285394523e-01 4.991716573306036940e-05
1.470000000000000107e+01 6.490931224453242443e-01 3.293966648599535793e-05
1.490000000000000213e+01 5.717441757554697634e-01 2.173461408168854712e-05
1.510000000000000142e+01 5.007065107315520347e-01 1.434719485200525669e-05
1.530000000000000071e+01 4.358364618948221136e-01 9.459224757382224378e-06
1.550000000000000178e+01 3.769973664559976845e-01 6.244050425809559486e-06
1.570000000000000107e+01 3.239768128090889099e-01 4.110309517360892746e-06
1.590000000000000213e+01 2.765559736041630079e-01 2.711324076959022850e-06
1.610000000000000142e+01 2.344594975376387280e-01 1.780536631083050881e-06
